QUARTER,PKG,COUNT
2018 Q1,Bower (JS),53765
2018 Q1,Clojars (Clojure),20641
2018 Q1,CPAN,35995
2018 Q1,CPAN (search),35995
2018 Q1,CRAN (R),12009
2018 Q1,Crates.io (Rust),13062
2018 Q1,Crystal Shards,0
2018 Q1,Drupal (php),39415
2018 Q1,DUB (dlang),1173
2018 Q1,GoDoc (Go),129650
2018 Q1,Gopm (go),19860
2018 Q1,Hackage (Haskell),12141
2018 Q1,Hex.pm (Elixir/Erlang),5549
2018 Q1,Julia,1688
2018 Q1,LuaRocks (Lua),1666
2018 Q1,Maven Central (Java),215129
2018 Q1,MELPA (Emacs),3828
2018 Q1,Nimble (Nim),568
2018 Q1,npm (node.js),570080
2018 Q1,nuget (.NET),101048
2018 Q1,Packagist (PHP),169297
2018 Q1,Pear (PHP),602
2018 Q1,Perl 6 Ecosystem (perl 6),967
2018 Q1,PyPI,125486
2018 Q1,Rubygems.org,139265
2018 Q1,Vim Scripts,5499
2018 Q2,Bower (JS),53765
2018 Q2,Clojars (Clojure),21425
2018 Q2,CPAN,36255
2018 Q2,CPAN (search),36255
2018 Q2,CRAN (R),12371
2018 Q2,Crates.io (Rust),14950
2018 Q2,Crystal Shards,2993
2018 Q2,Drupal (php),40198
2018 Q2,DUB (dlang),1255
2018 Q2,GoDoc (Go),129650
2018 Q2,Gopm (go),20157
2018 Q2,Hackage (Haskell),12463
2018 Q2,Hex.pm (Elixir/Erlang),6064
2018 Q2,Julia,1749
2018 Q2,LuaRocks (Lua),1749
2018 Q2,Maven Central (Java),226798
2018 Q2,MELPA (Emacs),3774
2018 Q2,Nimble (Nim),638
2018 Q2,npm (node.js),607712
2018 Q2,nuget (.NET),108866
2018 Q2,Packagist (PHP),181423
2018 Q2,Pear (PHP),602
2018 Q2,Perl 6 Ecosystem (perl 6),1070
2018 Q2,PyPI,133968
2018 Q2,Rubygems.org,141977
2018 Q2,Vim Scripts,5532
2018 Q3,Bower (JS),53765
2018 Q3,Clojars (Clojure),22109
2018 Q3,CPAN,38537
2018 Q3,CPAN (search),36528
2018 Q3,CRAN (R),12651
2018 Q3,Crates.io (Rust),16626
2018 Q3,Crystal Shards,3356
2018 Q3,Drupal (php),40880
2018 Q3,DUB (dlang),1335
2018 Q3,GoDoc (Go),129650
2018 Q3,Gopm (go),20387
2018 Q3,Hackage (Haskell),12833
2018 Q3,Hex.pm (Elixir/Erlang),6579
2018 Q3,Julia,1872
2018 Q3,LuaRocks (Lua),1870
2018 Q3,Maven Central (Java),238015
2018 Q3,MELPA (Emacs),3874
2018 Q3,Nimble (Nim),704
2018 Q3,npm (node.js),655129
2018 Q3,nuget (.NET),119024
2018 Q3,Packagist (PHP),187483
2018 Q3,Pear (PHP),602
2018 Q3,Perl 6 Ecosystem (perl 6),1165
2018 Q3,PyPI,143532
2018 Q3,Rubygems.org,144527
2018 Q3,Vim Scripts,5536
2018 Q4,Bower (JS),53765
2018 Q4,Clojars (Clojure),22656
2018 Q4,CPAN,38984
2018 Q4,CPAN (search),36528
2018 Q4,CRAN (R),13103
2018 Q4,Crates.io (Rust),18858
2018 Q4,Crystal Shards,3737
2018 Q4,Drupal (php),41559
2018 Q4,DUB (dlang),1399
2018 Q4,GoDoc (Go),129650
2018 Q4,Gopm (go),20967
2018 Q4,Hackage (Haskell),13103
2018 Q4,Hex.pm (Elixir/Erlang),7031
2018 Q4,Julia,1906
2018 Q4,LuaRocks (Lua),1920
2018 Q4,Maven Central (Java),250468
2018 Q4,MELPA (Emacs),3969
2018 Q4,Nimble (Nim),781
2018 Q4,npm (node.js),702491
2018 Q4,nuget (.NET),128444
2018 Q4,Packagist (PHP),197152
2018 Q4,Pear (PHP),602
2018 Q4,Perl 6 Ecosystem (perl 6),1220
2018 Q4,PyPI,153558
2018 Q4,Rubygems.org,146742
2018 Q4,Vim Scripts,5536
